L (mm)	R_n (mm)	theta (degree)	delta  (mm)	dL  (mm)
20.00000	3.21546	52.92433	0.52369	3.41658
41.87587	3.05463	65.53854	1.57351	1.00000
61.04386	4.60944	45.26639	0.67293	2.52158
87.28180	2.04110	68.62507	1.11205	1.80355
93.62146	3.41687	46.69790	2.00000	2.11147
100.00000	4.91761	56.70247	1.33203	1.10979
21.45576	2.72867	57.86274	1.96304	1.44789
37.72646	2.82360	45.82402	1.16613	3.80256
43.11429	5.00000	69.98057	0.50000	2.79381
50.13961	2.11478	75.00000	1.74953	2.99351
76.21600	3.34041	71.24019	0.74198	1.17143
83.07468	3.65285	59.26715	1.52238	3.29897
30.47817	3.50804	71.94038	1.89842	3.62970
36.05075	4.72931	53.88280	1.71775	1.88512
47.28968	4.04307	56.30877	0.77607	4.00000
79.30825	2.27609	45.00000	1.65217	1.29945
94.74248	4.34732	62.27351	0.54125	1.53580
96.95337	2.89597	73.05117	1.40520	2.63079
25.01740	3.88555	74.72852	0.62527	1.99510
54.13141	2.58650	60.76855	0.95180	2.21389
58.23449	4.95044	62.63151	1.98953	3.86591
66.82580	3.79604	50.02810	1.23314	1.63906
73.55199	4.17207	67.25610	1.81506	2.36073
99.31959	2.17052	48.44502	0.81517	3.18966
22.67322	4.49446	64.38683	1.27758	3.07180
26.56842	2.00000	50.97438	1.47539	2.44661
29.15294	4.24827	47.38358	0.91169	1.05087
65.44729	2.32276	66.32065	0.58863	3.71845
70.62447	4.77129	74.15416	1.02920	3.47229
88.98779	2.51654	52.34267	1.84445	3.96035
